"ID","NAME","CATEGORY__C","COST__C","POWER_CONSUMPTION__C","WATER_CONSUMPTION__C","CARBON_FOOTPRINT__C","DESCRIPTION__C"
"a000Y000009Tb13QAC","Bed","Furniture","500.0","0.0","0.0","0.0","A bed is a piece of furniture which is used as a place to sleep or relax."
"a000Y000009Tb1IQAS","Cot","Furniture","300.0","0.0","0.0","0.0","A cot is an infant bed."
"a000Y000009Tb18QAC","Bunk Bed","Furniture","300.0","0.0","0.0","0.0","A bunk bed is a type of bed in which one bed frame is stacked on top of another."
"a000Y000009Tb1DQAS","Chair","Furniture","150.0","0.0","0.0","0.0","A chair is a piece of furniture with a raised surface, commonly used to seat a single person."
"a000Y000009Tb1NQAS","School Desk","Furniture","500.0","0.0","0.0","0.0","A school desk is a piece of furniture with a flat table-style work surface used in a school."
"a000Y000009oxpUQAQ","Sofa 1 Seat","Furniture","0.0","0.0","0.0","0.0",""
"a000Y000009oxrLQAQ","Lamp Tall","Furniture","0.0","0.0","0.0","0.0",""
"a000Y000009oxpeQAA","Sofa 3 Seats","Furniture","0.0","0.0","0.0","0.0",""
"a000Y000009oxqXQAQ","Outdoor Table 4 Seats","Exterior","0.0","0.0","0.0","0.0",""
"a000Y000009oxqYQAQ","Garden Fence","Exterior","0.0","0.0","0.0","0.0",""
"a000Y000009oxqhQAA","Drawing Desk","Furniture","0.0","0.0","0.0","0.0",""
"a000Y000009oxpZQAQ","Sofa 2 Seats","Furniture","0.0","0.0","0.0","0.0",""
"a000Y000009oxqrQAA","Garden Lamp","Exterior","0.0","0.0","0.0","0.0",""
"a000Y000009oxq8QAA","Tennis Table","Exterior","0.0","0.0","0.0","0.0",""
"a000Y000009oxr6QAA","Book Case","Furniture","0.0","0.0","0.0","0.0",""
"a000Y000009oxpoQAA","Study Desk","Furniture","0.0","0.0","0.0","0.0",""
"a000Y000009oxpFQAQ","Sink and Unit","Furniture","0.0","0.0","0.0","0.0",""
"a000Y000009oxqSQAQ","Outdoor Table 2 Benches","Exterior","0.0","0.0","0.0","0.0",""
"a000Y000009oxqNQAQ","Playpen","Furniture","0.0","0.0","0.0","0.0",""
"a000Y000009oxqwQAA","High Chair","Furniture","0.0","0.0","0.0","0.0",""
"a000Y000009oxq3QAA","Table8p","Furniture","0.0","0.0","0.0","0.0",""
"a000Y000009oxpPQAQ","Radiator","Exterior","0.0","0.0","0.0","0.0",""
"a000Y000009oxpyQAA","Table 6 Persons","Furniture","0.0","0.0","0.0","0.0",""
"a000Y000009ovj3QAA","Tinker Cube","Custom","0.0","0.0","0.0","0.0","A sample object created in Tinkercad"
"a000Y000009oxqcQAA","Corner Sofa","Furniture","0.0","0.0","0.0","0.0",""
"a000Y000009oxptQAA","Table 4 Persons","Furniture","0.0","0.0","0.0","0.0",""
"a000Y000009oxqDQAQ","Trampoline","Exterior","0.0","0.0","0.0","0.0",""
"a000Y000009oxrVQAQ","TV","Furniture","0.0","0.0","0.0","0.0",""
"a000Y000009oxrQQAQ","Office Chair","Furniture","0.0","0.0","0.0","0.0",""
"a000Y000009RLUKQA4","Wind Turbine","Exterior","1500.0","-1000.0","0.0","0.0","A wind turbine is a device that converts the wind's energy into electrical power."
"a000Y000009RLUFQA4","Antenna","Exterior","5000.0","3500.0","0.0","0.0","Allows to receive phone, TV, radio and Internet signal."
"a000Y000009RLUAQA4","Solar Panel","Exterior","3000.0","-2000.0","0.0","0.0","Solar panel refers to a panel designed to absorb the sun's rays as a source of energy for generating electricity or heating."
"a000Y000009oxjvQAA","Double Bed","Furniture","800.0","0.0","0.0","0.0","A large bed for two persons."
"a000Y000009oxSEQAY","Water Tank","Exterior","400.0","0.0","-1000.0","0.0","A tank that stores water."
