"NAME","PREFAB_PATH__C","CATEGORY__C","COST__C","POWER_CONSUMPTION__C","WATER_CONSUMPTION__C","CARBON_FOOTPRINT__C","DESCRIPTION__C","CLIMATE_SPECIFIC__C","MODEL_VARIATIONS__C"
"Bed","Furniture/Bed","Furniture","500.0","0.0","0.0","0.0","A bed is a piece of furniture which is used as a place to sleep or relax.","true","2.0"
"Cot","Furniture/Cot","Furniture","300.0","0.0","0.0","0.0","A cot is an infant bed.","false","1.0"
"Bunk Bed","Furniture/BunkBed","Furniture","300.0","0.0","0.0","0.0","A bunk bed is a type of bed in which one bed frame is stacked on top of another.","true","2.0"
"Chair","Furniture/Chair","Furniture","150.0","0.0","0.0","0.0","A chair is a piece of furniture with a raised surface, commonly used to seat a single person.","false","1.0"
"School Desk","Furniture/SchoolDesk","Furniture","500.0","0.0","0.0","0.0","A school desk is a piece of furniture with a flat table-style work surface used in a school.","false","1.0"
"Sofa 1 Seat","Furniture/Sofa_1Seat","Furniture","0.0","0.0","0.0","0.0","","false","1.0"
"Lamp Tall","Furniture/LampTall","Furniture","0.0","0.0","0.0","0.0","","false","1.0"
"Sofa 3 Seats","Furniture/Sofa_3Seats","Furniture","0.0","0.0","0.0","0.0","","false","1.0"
"Outdoor Table 4 Seats","Exterior/OutdoorTable4Seat","Exterior","0.0","0.0","0.0","0.0","","false","1.0"
"Garden Fence","Exterior/GardenFenceLong","Exterior","0.0","0.0","0.0","0.0","","false","1.0"
"Drawing Desk","Furniture/DrawingDeskAndStool","Furniture","0.0","0.0","0.0","0.0","","false","1.0"
"Sofa 2 Seats","Furniture/Sofa_2Seats","Furniture","0.0","0.0","0.0","0.0","","false","1.0"
"Garden Lamp","Exterior/GardenLamp","Exterior","0.0","0.0","0.0","0.0","","false","1.0"
"Tennis Table","Exterior/TableTennis","Exterior","0.0","0.0","0.0","0.0","","false","1.0"
"Book Case","Furniture/BookCase","Furniture","0.0","0.0","0.0","0.0","","false","1.0"
"Study Desk","Furniture/StudyDesk","Furniture","0.0","0.0","0.0","0.0","","false","1.0"
"Sink and Unit","Furniture/SinkAndUnit","Furniture","0.0","0.0","0.0","0.0","","false","1.0"
"Outdoor Table 2 Benches","Exterior/OutdoorTable","Exterior","0.0","0.0","0.0","0.0","","false","1.0"
"Playpen","Furniture/Playpen","Furniture","0.0","0.0","0.0","0.0","","false","1.0"
"High Chair","Furniture/HighChair","Furniture","0.0","0.0","0.0","0.0","","false","1.0"
"Table 8 Persons","Furniture/Table8p","Furniture","0.0","0.0","0.0","0.0","","false","1.0"
"Radiator","Furniture/Radiator","Exterior","0.0","0.0","0.0","0.0","","false","1.0"
"Table 6 Persons","Furniture/Table6p","Furniture","0.0","0.0","0.0","0.0","","false","1.0"
"Tinker Cube","https://www.dropbox.com/s/cny57kimf5r6dbe/tinkercad-bundle?dl=1","Custom","0.0","0.0","0.0","0.0","A sample object created in Tinkercad","false","1.0"
"Corner Sofa","Furniture/CornerSofa","Furniture","0.0","0.0","0.0","0.0","","false","1.0"
"Table 4 Persons","Furniture/Table4p","Furniture","0.0","0.0","0.0","0.0","","false","1.0"
"Trampoline","Exterior/Trampoline","Exterior","0.0","0.0","0.0","0.0","","false","1.0"
"TV","Furniture/TV","Furniture","0.0","0.0","0.0","0.0","","false","1.0"
"Office Chair","Furniture/OfficeChair","Furniture","0.0","0.0","0.0","0.0","","false","1.0"
"Wind Turbine","Exterior/WindTurbine","Exterior","1500.0","-1000.0","0.0","0.0","A wind turbine is a device that converts the wind's energy into electrical power.","false","1.0"
"Antenna","Exterior/Antenna","Exterior","5000.0","3500.0","0.0","0.0","Allows to receive phone, TV, radio and Internet signal.","false","1.0"
"Solar Panel","Exterior/SolarPanel","Exterior","3000.0","-2000.0","0.0","0.0","Solar panel refers to a panel designed to absorb the sun's rays as a source of energy for generating electricity or heating.","false","1.0"
"Double Bed","Furniture/DoubleBed","Furniture","800.0","0.0","0.0","0.0","A large bed for two persons.","true","1.0"
"Water Tank","Exterior/WaterTank1000L","Exterior","400.0","0.0","-1000.0","0.0","A tank that stores water.","false","1.0"
